,Tweets
68,"RT @Reema_bjp: जय जय श्री राम 🙏🌷
 हर हर महादेव 🙏🌷
#SelfieWithTilak
#ChowkidaarKeMannKiBaat https://t.co/4OafcTjXao"
69,"RT @aajtak: BJP के 'अनुशासन' की जोत जगाते दो नेता !
देखिए #10Tak सईद अंसारी के साथ 
अन्य वीडियो: https://t.co/0lHmKyGH0i https://t.co/QoDYY…"
70,"देश से बढ़कर कुछ नहीं है। देश की सेवा करने वालों को, देश के निर्माण में लगे हर व्यक्ति को, देश का ये प्रधानसेवक नमन… https://t.co/XYCx44jUyO"
71,@ManishHpurohit @narendramodi @PiyushGoyal @devjimpatel @parag_alavani @Smraoborli @AsitKumarrModi @OmMathur_bjp… https://t.co/MEuDaqfBUL
72,@CTRavi_BJP @narendramodi Thugs life Da this BJP life https://t.co/roNmJQVfpB
73,RT @shunagar: My Parivar  want to be a BJP Parivar #MeraParivarBhajapaParivar
74,RT @VivekmMisra: @Akshaysinghel @TajinderBagga @siddaramaiah @narendramodi @AmitShah @CTRavi_BJP @bjparvind @BJP4Karnataka @smritiirani @po…
75,@shahfaesal @PMOIndia @UN @StateDept Extremism is intolerable. The buck doesn't stop with Pak based or sponsored mi… https://t.co/HfItTKMMJQ
76,"RT @Benarasiyaa: In Muzaffarnagar, BJP workers brutally thrashed a youth who confronted govt's claim over job and education during an elect…"
77,"RT @kaur0211: BJP-हीरो जवाब दो
कारगिल पर कब्जा हुआ
कारगिल मे शहीदो का कफन खाया
संसद भवन पर हमला हुआ
लाल किले पर हमला हुआ
गुजरात मे नरसंहार…"
78,"up bjp सांसद त्रिपाठी जी की मुलाकात मोदी जी से कब होगी 😂😂😂
#MeraBootSabseMazboot https://t.co/1kVPrJFxKg"
79,"RT @newslaundry: Why is the Congress cutting into Aam Aadmi Party votes in Delhi, which will eventually benefit the Bharatiya Janata Party?…"
80,RT @PiyushGoyal: PM @NarendraModi will visit Kalaburagi in Karnataka and Kancheepuram in Tamil Nadu today to inaugurate various infrastruct…
81,"RT @bijendra125: @INCIndia मतलब #कांग्रेस ने ex #PM #शास्त्री जी और #नेताजी_सुभाष_चंद_बोस की मौत के सबूत आज तक देश को नहीं दिये हेै। 
👉🏽अबे…"
82,"RT @pbhushan1: Must Watch: Ravish Kumar on BJP's shoefest in UP: ""Mera boot sabse majboot""! Also on the AG's objection in the SC to examine…"
83,"RT @Being__Mahi: मुझे उन उन चीजों का पछतावा नहीं 
जो मैंने गलत की
मुझे उन अच्छी चीजों का पछतावा है
जो मैंने गलत लोगों के लिए की..!!

#बज़्म…"
84,"RT @BJP4India: भाजपा राष्ट्रीय अध्यक्ष श्री @AmitShah जी के आज झारखंड में सार्वजनिक कार्यक्रम। 

लाइव देखें https://t.co/vpP0MInUi4 और http…"
85,संतकबीरनगर में जिला योजना की बैठक में प्रभारी मंत्री आशुतोष टंडन की उपस्थिति में बवाल। भाजपा सांसद शरद त्रिपाठी ने… https://t.co/lACXGN3G2U
86,"RT @RealHistoryPic: Today:

1) Rafale file stolen from Defense Ministry.

2) BJP MP beats Black &amp; Blue to a BJP MLA.

3) A youth thrashed b…"
87,"RT @Benarasiyaa: In Muzaffarnagar, BJP workers brutally thrashed a youth who confronted govt's claim over job and education during an elect…"
88,RT @scribe_prashant: Outrageous: It was the final journey of martyr Ajit Kumar Azad but look how BJP MP Sakshi Maharaj is waving from the t…
89,RT @BJP4Delhi: केजरीवाल अपनी हार से इतने भयभीत हैं कि कांग्रेस के सामने गठबंधन के लिए बार-बार हाथ जोड़े खड़े हैं पर कांग्रेस तैयार नहीं हो…
90,"RT @pbhushan1: Must Watch: Ravish Kumar on BJP's shoefest in UP: ""Mera boot sabse majboot""! Also on the AG's objection in the SC to examine…"
91,INDIA SHINING .... https://t.co/TUrcfA1SVd
92,"RT @AmitShahFanClub: BJP National President @AmitShah Ji will address Shakti Kendra Pramukh Sammelan today at 2 pm in Nizamabad, Telangana.…"
93,RT @MamataOfficial: Media plays an important role in democracy. I strongly condemn threats by BJP govt to one of India's most senior &amp; resp…
94,"Avi Dandiya shared manufactured audio clip to claim that BJP plotted to hack EVMs
#FactCheck #FightAgainstFakeNews https://t.co/DHL9AEC0Nl"
95,RT @NishantJaiHind: Thanku @narendramodi ji for honouring our real life heroes who are securing our borders 24x7 away from their families s…
96,"RT @mithu796311: The social connect ,, जुडेगा तभी तो बढेगा ,, क्या ,, सोचिए जरूर ।।

जयहिंद ।।

सोशल मीडिया कॉर्नर 6 मार्च 2019
https://t.c…"
97,RT @MRVChennai: One media friend told me that congress estimates as many seats for BJP as there would be dead terrorists in Balakot. Now un…
98,"RT @SudhinBhadoria: BJP सांसद और विधायक के बीच चले जूते, प्रदेश अध्यक्ष पांडेय बोले- कठोर कार्रवाई होगी। भाजपा नेता जिस प्रकार देश की सेवा…"
99,"RT @RuchisharmaINC: थोड़े बहुत सैनिक मरते हैं।
डील की छोटी मोटी फाईलें चोरी हो जाती हैं
पार्टी की वेबसाइट हैक हो जाती है ।
 क्या वाकई देश…"
